dataset,model,condition,arm,bg,explainer,deterministic,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,floor_mean,floor_min,between_mean,between_sd,delta,p_value,p_adj,n_matchings,disattenuated,weighted_between,weighted_within,max_nonzero_per_row,seed_delta_max,status,verdict,top_feature,note
paysim,bert_fraud,dirichlet,none,shared,kernel,False,5,d357c4018251385e,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9354,0.8667,0.87,0.9989,0.9945,0.9354,0.0741,0.0635,0.0032,0.0055,945,0.9365,0.9146,0.9994,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,dirichlet,smote,local,kernel,False,5,0132fd80b458ad44,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9657,1.0,1.0,0.9989,0.9945,0.9657,0.0272,0.0332,0.0095,0.0108,945,0.9667,0.9517,0.9989,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,dirichlet,smote,local,kernel-exact-grouped,True,5,0132fd80b458ad44,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9033,0.7333,0.64,1.0,1.0,0.9033,0.0729,0.0967,0.0011,0.0019,945,0.9033,0.939,1.0,9,0.0,ok,clients_differ,type,
paysim,bert_fraud,dirichlet,smote,shared,kernel,False,5,0132fd80b458ad44,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9731,0.8,0.805,0.9989,0.9945,0.9731,0.0213,0.0258,0.0011,0.0055,945,0.9741,0.9337,0.9995,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,iid,none,local,kernel,False,5,3383f34942b5a41c,dd257865dfff5b8f,bca1e67969caa7a8,0.9489,1.0,1.0,0.9989,0.9945,0.9489,0.0397,0.05,0.0011,0.0015,945,0.9499,0.9825,0.9996,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,iid,none,local,kernel-exact-grouped,True,5,3383f34942b5a41c,dd257865dfff5b8f,bca1e67969caa7a8,0.9933,1.0,1.0,1.0,1.0,0.9933,0.0084,0.0067,0.1111,0.1111,945,0.9933,0.9978,1.0,9,0.0,ok,noise_limited,type,
paysim,bert_fraud,iid,none,shared,kernel,False,5,3383f34942b5a41c,dd257865dfff5b8f,bca1e67969caa7a8,0.9838,1.0,1.0,0.9956,0.989,0.9838,0.013,0.0118,0.0116,0.0139,945,0.9881,0.9923,0.998,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,iid,smote,local,kernel,False,5,0cfb3769d2367eda,dd257865dfff5b8f,bca1e67969caa7a8,0.9247,1.0,1.0,0.9989,0.9945,0.9247,0.0394,0.0742,0.0011,0.0015,945,0.9257,0.9722,0.9995,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,bert_fraud,iid,smote,local,kernel-exact-grouped,True,5,0cfb3769d2367eda,dd257865dfff5b8f,bca1e67969caa7a8,0.93,0.8667,0.82,1.0,1.0,0.93,0.0606,0.07,0.0011,0.0019,945,0.93,0.97,1.0,9,0.0,ok,clients_differ,type,
paysim,bert_fraud,iid,smote,shared,kernel,False,5,0cfb3769d2367eda,dd257865dfff5b8f,bca1e67969caa7a8,0.9709,1.0,1.0,0.9989,0.9945,0.9709,0.0325,0.028,0.0074,0.0099,945,0.9719,0.9891,0.9997,13,undefined,ok,clients_differ,type_PAYMENT,
paysim,fedxgbllr,dirichlet,none,local,kernel,False,5,0df1f56e0b271090,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.8269,0.6714,0.6425,0.9912,0.978,0.8269,0.1366,0.1643,0.0021,0.0026,945,0.8343,0.8216,0.9968,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,dirichlet,none,local,kernel-exact-grouped,True,5,0df1f56e0b271090,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.7717,0.6714,0.505,1.0,1.0,0.7717,0.1785,0.2283,0.0011,0.0019,945,0.7717,0.8472,1.0,9,0.0,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,dirichlet,none,shared,kernel,False,5,0df1f56e0b271090,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9495,0.7667,0.7725,0.9956,0.9945,0.9495,0.044,0.0462,0.0021,0.0055,945,0.9536,0.9503,0.9983,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,dirichlet,smote,local,kernel,False,5,3bec39a4456065da,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.7676,0.6714,0.6425,0.9956,0.9945,0.7676,0.1369,0.228,0.0011,0.0015,945,0.771,0.665,0.9993,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,dirichlet,smote,local,kernel-exact-grouped,True,5,3bec39a4456065da,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.6867,0.6857,0.55,1.0,1.0,0.6867,0.1846,0.3133,0.0011,0.0019,945,0.6867,0.5965,1.0,9,0.0,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,dirichlet,smote,shared,kernel,False,5,3bec39a4456065da,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.8995,0.8667,0.87,0.9989,0.9945,0.8995,0.1016,0.0995,0.0032,0.0055,945,0.9004,0.8448,0.9998,13,undefined,ok,clients_differ,errorBalanceOrig,
paysim,fedxgbllr,iid,none,local,kernel,False,5,d5795556729339f6,dd257865dfff5b8f,bca1e67969caa7a8,0.9582,1.0,1.0,0.9505,0.8571,0.9582,0.0439,-0.0077,0.8381,0.8643,945,1.0081,0.9859,0.9847,13,undefined,ok,noise_limited,errorBalanceOrig,
